,PlotName,BiomassSum,SampleID,N,P,K,Mg,Ca,C,Site,TrapName,Species,Qty_C,Qty_N,Qty_P,Molar_C,Molar_N,Molar_P,CNRatio,CPRatio,NPRatio
1,Bloomfield+F5,2.643321926,BL_F5_ABBA,0.63,0.125,0.39,0.11,0.52,51.52,BL,F5,ABBA,0.003394838,4.15E-05,8.24E-06,0.000282651,2.96E-06,2.66E-07,95.36803017,1062.897728,11.14522054
2,Bloomfield+J1,43.96045617,BL_J1_ABBA,0.99,0.125,0.47,0.08,0.97,51.53,BL,J1,ABBA,0.056469707,0.001084902,0.000136983,0.004701617,7.75E-05,4.42E-06,60.70052612,1063.104036,17.51391798
3,Dunphys Pond+A1,12.58625613,DP_A1_ABBA,1.3,0.13,0.99,0.09,0.34,51.43,DP,A1,ABBA,0.016136387,0.000407881,4.08E-05,0.001343501,2.91E-05,1.32E-06,46.13607873,1020.231691,22.11353281
4,Dunphys Pond+A11,48.82617295,DP_A11_ABBA,0.88,0.054,0.54,0.08,0.53,52.17,DP,A11,ABBA,0.063498977,0.001071096,6.57E-05,0.005286867,7.65E-05,2.12E-06,69.13622654,2491.453089,36.03686828
5,Dunphys Pond+A13,197.3746483,DP_A13_ABBA,1.21,0.109,0.88,0.09,0.34,51.2,DP,A13,ABBA,0.251915293,0.005953467,0.000536304,0.020974239,0.000425044,1.73E-05,49.34601633,1211.348485,24.54805018
6,Dunphys Pond+A3,567.5666883,DP_A3_ABBA,0.74,0.044,0.33,0.12,0.58,52.32,DP,A3,ABBA,0.740249012,0.010469883,0.000622534,0.061632462,0.000747491,2.01E-05,82.45244207,3066.483953,37.19094154
7,Dunphys Pond+A5,21.21351537,DP_A5_ABBA ,0.75,0.056,0.38,0.1,0.6,52.71,DP,A5,ABBA,0.027873972,0.000396613,2.96E-05,0.002320762,2.83E-05,9.56E-07,81.95949245,2427.340079,29.61633858
8,Dunphys Pond+A7,1.126455092,DP_A7_ABBA ,1.18,0.057,0.55,0.09,0.51,52.24,DP,A7,ABBA,0.001466933,3.31E-05,1.60E-06,0.000122136,2.37E-06,5.17E-08,51.62840027,2363.490985,45.77889248
9,Dunphys Pond+C10,22.08871032,DP_C10_ABBA,1.07,0.074,0.74,0.08,0.45,50.98,DP,C10,ABBA,0.028071356,0.000589179,4.07E-05,0.002337196,4.21E-05,1.32E-06,55.56272806,1776.616736,31.97497312
10,Dunphys Pond+C14,29.63327534,DP_C14_ABBA,0.94,0.085,0.66,0.08,0.37,51.68,DP,C14,ABBA,0.038176434,0.000694386,6.28E-05,0.003178535,4.96E-05,2.03E-06,64.11537089,1567.939196,24.45496569
11,Dunphys Pond+C2,1093.942874,DP_C2_ABBA ,0.73,0.075,0.34,0.1,0.63,52.2,DP,C2,ABBA,1.423502879,0.019907224,0.002045263,0.11851956,0.001421264,6.60E-05,83.39022591,1794.877763,21.5238386
12,Dunphys Pond+C4,661.9357186,DP_C4_ABBA,1.04,0.085,0.75,0.08,0.29,51.36,DP,C4,ABBA,0.847488932,0.017160991,0.001402581,0.070561161,0.001225199,4.53E-05,57.59160518,1558.230594,27.05655779
13,Dunphys Pond+C6,33.21497236,DP_C6_ABBA,0.91,0.052,0.49,0.1,0.72,52.6,DP,C6,ABBA,0.043552475,0.000753474,4.31E-05,0.00362614,5.38E-05,1.39E-06,67.40806481,2608.603292,38.69868242
14,Dunphys Pond+E1,2.780679035,DP_E1_ABBA,0.73,0.085,0.39,0.09,0.64,52.66,DP,E1,ABBA,0.003650269,5.06E-05,5.89E-06,0.000303918,3.61E-06,1.90E-07,84.1250823,1597.671789,18.9916223
15,Dunphys Pond+F1,298.7418073,DP_F1_ABBA,0.72,0.072,0.53,0.07,0.45,51.93,DP,F1,ABBA,0.386729703,0.005361937,0.000536194,0.032198765,0.000382812,1.73E-05,84.11110406,1859.993659,22.11353281
16,Dunphys Pond+F11,31.27397106,DP_F11_ABBA,0.85,0.06,0.48,0.14,0.34,52.6,DP,F11,ABBA,0.041007376,0.000662667,4.68E-05,0.003414237,4.73E-05,1.51E-06,72.16628114,2260.78952,31.32750481
