SampleLabel,Site,SampleLoc,Species,Total N,P,K,Mg,Ca,TC
Stoi_BL_A1_PIMA ,BL,A1,PIMA,1.1,0.092,0.59,0.08,0.22,50.17
Stoi_BL_A11_PIMA ,BL,A11,PIMA,1.02,0.166,0.72,0.1,0.26,51.2
Stoi_BL_A13_PIMA ,BL,A13,PIMA,1.41,0.157,0.83,0.09,0.15,50.66
Stoi_BL_A3_PIMA ,BL,A3,PIMA,0.8,0.098,0.52,0.07,0.22,50.28
Stoi_BL_A5_PIMA ,BL,A5,PIMA,0.91,0.097,0.69,0.08,0.28,50.03
Stoi_BL_A9_PIMA ,BL,A9,PIMA,1.18,0.203,0.92,0.1,0.1,49.08
Stoi_BL_B14_PIMA ,BL,B14,PIMA,1,0.106,0.61,0.1,0.2,49.28
Stoi_BL_C12_PIMA ,BL,C12,PIMA,1.13,0.186,0.78,0.1,0.14,49.24
Stoi_BL_C4_PIMA ,BL,C4,PIMA,1.16,0.165,0.81,0.1,0.16,49.3
Stoi_BL_C8_PIMA ,BL,C8,PIMA,1.2,0.143,0.82,0.1,0.15,48.73
Stoi_BL_E1_PIMA ,BL,E1,PIMA,0.96,0.105,0.75,0.09,0.19,48.78
Stoi_BL_F1_PIMA ,BL,F1,PIMA,0.86,0.113,0.55,0.08,0.22,48.93
Stoi_BL_F11_PIMA ,BL,F11,PIMA,0.92,0.169,0.71,0.09,0.23,48.7
Stoi_BL_F13_PIMA ,BL,F13,PIMA,0.85,0.129,0.52,0.1,0.28,49.17
Stoi_BL_F3_PIMA ,BL,F3,PIMA,0.84,0.108,0.54,0.09,0.3,48.52
Stoi_BL_F5_PIMA ,BL,F5,PIMA,1.07,0.172,0.73,0.1,0.21,48.75
Stoi_BL_G14_PIMA ,BL,G14,PIMA,1.18,0.153,0.68,0.09,0.22,49.07
Stoi_BL_I10_PIMA ,BL,I10,PIMA,1.11,0.182,0.81,0.09,0.16,48.98
Stoi_BL_I12_PIMA ,BL,I12,PIMA,1.11,0.182,0.81,0.09,0.17,49.21
Stoi_BL_I14_PIMA ,BL,I14,PIMA,0.68,0.127,0.65,0.07,0.25,48.46
Stoi_BL_I2_PIMA ,BL,I2,PIMA,1.36,0.194,0.95,0.1,0.21,49.48
Stoi_BL_I4_PIMA ,BL,I4,PIMA,1.17,0.197,0.76,0.09,0.15,48.26
Stoi_BL_I6_PIMA ,BL,I6,PIMA,1.39,0.169,0.78,0.09,0.12,49.1
Stoi_BL_I8_PIMA ,BL,I8,PIMA,1.06,0.112,0.6,0.08,0.24,48.57
Stoi_BL_J1_PIMA ,BL,J1,PIMA,1.26,0.193,0.72,0.09,0.18,48.05
Stoi_BL_K1_PIMA ,BL,K1,PIMA,0.96,0.121,0.76,0.09,0.19,49.07
