,SiteName,POINT_X,POINT_Y,Terpene,Monoterpene,MonoAlcohol,MonoEster,Sesquiterpene,SesqAlcohol,alphaCamp,OxySesqUnk18,TotalTerpeneBM,TotalMonoterpeneBM,TotalMonoterpenicAlcoholBM,TotalMonoterpenicEsterBM,TotalSesquiterpeneBM,TotalSesquiterpenicAlcoholBM,alphaCampholenalBM,OxygenatedSesquiterpeneUnk18BM,DiversityShan
1,BL,-53.986869,48.350269,21.75,7.58,0.43,7.18,0.77,3.6,0.03,2.07,0.857016287,0.298675102,0.016943311,0.282913882,0.030340347,0.141850972,0.001182091,0.081564309,2.220694487
2,BL,-53.986422,48.353699,11.96,4.66,0.15,3.3,0.48,2.28,0.01,1.03,4.779582736,1.862278892,0.0599446,1.31878119,0.191822718,0.911157913,0.003996307,0.411619583,2.438313054
3,BL,-53.986274,48.354405,12.54,4,0.15,3.07,0.55,3.43,0.01,1.27,75.80353142,24.17975484,0.906740806,18.55796184,3.32471629,20.73413977,0.060449387,7.677072162,2.296005046
4,BL,-53.98688,48.350916,19.82,6.27,0.32,7.43,0.64,3.28,0.07,1.74,29.61440597,9.368432161,0.478133699,11.10166682,0.956267398,4.900870413,0.104591747,2.599851987,2.479278668
5,BL,-53.986771,48.351594,23.45,7.73,0.48,6.51,0.74,6.15,0.05,1.72,1870.396106,616.5527461,38.28529342,519.244292,59.02316069,490.5303219,3.988051398,137.1889681,2.226013148
6,BL,-53.986526,48.35295,18.57,6.98,0.3,5.57,0.64,3.49,0.02,1.5,22.83004169,8.581243456,0.368821352,6.847783102,0.786818884,4.290621728,0.02458809,1.84410676,2.298031304
7,BL,-53.985762,48.354652,13.56,4.75,0.17,3.05,0.62,3.36,0.01,1.53,17.35033745,6.0777362,0.21751898,3.902546402,0.793304514,4.299198659,0.012795234,1.957670818,2.432934642
8,BL,-53.985291,48.35399,15.09,4.93,0.2,3.87,0.55,4.2,0.02,1.27,9.809251383,3.204745482,0.130009959,2.515692701,0.357527386,2.730209132,0.013000996,0.825563238,2.290854166
9,BL,-53.985658,48.351254,10.51,4,0.16,3.16,0.48,1.8,0.01,0.86,65.01703031,24.744826,0.98979304,19.54841254,2.96937912,11.1351717,0.061862065,5.320137589,2.356388277
10,BL,-53.985457,48.352663,18.37,6.8,0.25,7.49,0.43,2.14,0.03,1.18,223.2391763,82.6361676,3.038094397,91.02130813,5.225522363,26.00608804,0.364571328,14.33980555,2.128594969
11,BL,-53.984584,48.350211,19.74,7.18,0.35,6.39,0.52,3.9,0.04,1.31,27.30026205,9.92988255,0.4840472,8.837318871,0.719155839,5.393668795,0.05531968,1.811719518,2.233849984
12,BL,-53.984047,48.350252,18.29,5.61,0.44,5.55,0.73,4.68,0.03,1.2,143.5834438,44.04062985,3.454167047,43.56960707,5.730777146,36.73977677,0.23551139,9.420455582,2.338210693
13,BL,-53.983517,48.353667,17.34,6.6,0.31,5.62,0.45,2.73,0.03,1.54,1.481981996,0.564076192,0.026494488,0.480319424,0.03845974,0.233322425,0.002563983,0.131617778,2.201878747
14,BL,-53.983426,48.354416,19.38,5.81,0.22,4.14,0.8,5.51,0.02,2.77,4.913465369,1.473025479,0.055777213,1.049625729,0.202826228,1.396965644,0.005070656,0.702285814,2.301778038
15,BL,-53.983935,48.350885,14.35,5.33,0.25,4.27,0.56,2.23,0.03,1.62,0.730338704,0.271268661,0.012723671,0.217320297,0.028501023,0.113495144,0.00152684,0.082449387,2.346846695
16,BL,-53.9838,48.351581,14.08,5.21,0.22,4.02,0.48,3.04,0.02,1.05,129.7824466,48.02319225,2.027850728,37.05436331,4.424401589,28.02121006,0.184350066,9.678378476,2.334736659
17,BL,-53.983655,48.353015,12.32,3.87,0.2,3.14,0.6,3.24,0.02,1.2,0.80087778,0.251574433,0.013001263,0.204119824,0.039003788,0.210620455,0.001300126,0.078007576,2.336673747
18,BL,-53.982929,48.354681,8.81,3.88,0.19,2.41,0.27,1.14,0.01,0.87,0.493628855,0.217398406,0.010645798,0.135033546,0.01512824,0.063874789,0.000560305,0.04874655,2.395577065
19,BL,-53.982461,48.354774,13.64,4.66,0.24,3.68,0.55,2.76,0.01,1.68,175.7918519,60.05792009,3.093111764,47.42771372,7.088381126,35.57078529,0.128879657,21.65178235,2.362425982
20,BL,-53.982162,48.353342,14.15,5.66,0.23,4.43,0.46,2.27,0.01,1.05,44.7563619,17.90254476,0.727488568,14.01206242,1.454977136,7.179995866,0.031629938,3.321143462,2.305701895
21,BL,-53.981974,48.354049,13.08,4.07,0.22,2.51,0.61,4.02,0.01,1.58,226.4336112,70.45755333,3.808516396,43.45170979,10.55997728,69.59198142,0.173114382,27.3520723,2.380524531
