SiteName,PlotName,CanopyClosure,AvgDBH
Dumphys Pond,Dunphys Pond+D1,85.18,21.94
Dumphys Pond,Dunphys Pond+A1,95.58,15.08
Unicorn,Unicorn+A1,86.74,17.82
Unicorn,Unicorn+A11,98.96,11.78
Bloomfield,Bloomfield+N1,54.76,11.12
Unicorn,Unicorn+A3,99.74,16.12
Bloomfield,Bloomfield+N13,51.64,9.22
Bloomfield,Bloomfield+N11,71.4,4.82
Bloomfield,Bloomfield+L8,80.76,8.5
Bloomfield,Bloomfield+L6,77.9,10.08
Bloomfield,Bloomfield+K1,77.9,7.08
Bloomfield,Bloomfield+A5,5.1,6.04
Bloomfield,Bloomfield+I2,99.22,12.18
Bloomfield,Bloomfield+I4,99.74,8.96
Bloomfield,Bloomfield+A11,87.78,6.92
Unicorn,Unicorn+A7,99.74,17.62
Unicorn,Unicorn+A9,99.48,16.78
Unicorn,Unicorn+B14,97.92,14.2
Bloomfield,Bloomfield+I6,99.48,10.16
Bloomfield,Bloomfield+A13,92.98,8.86
Bloomfield,Bloomfield+I8,99.74,10.22
Bloomfield,Bloomfield+B14,91.94,11.44
Bloomfield,Bloomfield+I12,98.96,10.5
Bloomfield,Bloomfield+J1,87.78,11.98
Bloomfield,Bloomfield+F3,87,8.28
Bloomfield,Bloomfield+F5,99.74,9.84
Bloomfield,Bloomfield+I14,29.54,9.68
Bloomfield,Bloomfield+A7,98.7,10.02
Bloomfield,Bloomfield+F7,100,11.5
Bloomfield,Bloomfield+F11,91.42,10.48
Bloomfield,Bloomfield+I10,97.14,7.5
Bloomfield,Bloomfield+F13,96.1,12.82
Bloomfield,Bloomfield+L2,22,4
Bloomfield,Bloomfield+C12,92.2,9.18
Bloomfield,Bloomfield+M14,55.02,6.82
Bloomfield,Bloomfield+C8,97.66,13.46
Bloomfield,Bloomfield+N3,66.72,7.78
Bloomfield,Bloomfield+A1,98.7,11.82
Bloomfield,Bloomfield+N5,51.12,5.7
Bloomfield,Bloomfield+A3,73.74,10.2
Bloomfield,Bloomfield+A9,98.44,9.7
Bloomfield,Bloomfield+N7,72.44,7.9
Bloomfield,Bloomfield+C6,99.22,11.22
Bloomfield,Bloomfield+N9,92.72,7.64
Bloomfield,Bloomfield+L14,36.04,4.92
Bloomfield,Bloomfield+C4,99.48,8.94
Bloomfield,Bloomfield+L12,97.92,8.2
Bloomfield,Bloomfield+C2,100,12.8
Bloomfield,Bloomfield+L10,19.14,6.64
Bloomfield,Bloomfield+F1,83.1,9.78
Bloomfield,Bloomfield+F9,100,11.52
Bloomfield,Bloomfield+G14,95.58,12.22
Bloomfield,Bloomfield+H14,100,7.98
Bloomfield,Bloomfield+C14,100,9.9
Bloomfield,Bloomfield+L4,51.64,5.1
Bloomfield,Bloomfield+C10,100,8.98
Bloomfield,Bloomfield+D1,100,11.62
Bloomfield,Bloomfield+E1,14.98,11.56
Dumphys Pond,Dunphys Pond+A9,49.56,11.16
Dumphys Pond,Dunphys Pond+A11,65.42,15.06
