Sample_ID,ID_2,Collector,Date_collected,Pred_Rank,Age_Class,Num_Sites,X,Y,Num_trials,C,N,P,K,Mg,Ca,Info
PIMAL11,TH_L1,TH,10/31/2018,Low,M,3,na,na,8,52.52,0.99,0.102,0.46,0.09,0.36,"Not controlled for age class, clipped by Travis and Kara from 3 sites which were combined, then subsampled twice"
PIMAL12,TH_L2,TH,10/31/2018,Low,M,3,na,na,8,53.12,0.97,0.099,0.46,0.08,0.33,"Not controlled for age class, clipped by Travis and Kara from 3 sites which were combined, then subsampled twice"
PIMAH11,TH_H1,TH,10/31/2018,High,M,3,na,na,8,52.12,1.04,0.128,0.61,0.09,0.3,"Not controlled for age class, clipped by Travis and Kara from 3 sites which were combined, then subsampled twice"
PIMAH12,TH_H2,TH,10/31/2018,High,M,3,na,na,8,52.13,0.95,0.106,0.59,0.1,0.26,"Not controlled for age class, clipped by Travis and Kara from 3 sites which were combined, then subsampled twice"
APIMALA,JBF_LA,JBF,11/11/2018,Low,A,1,279220,5359694,14,51.71,0.94,0.087,0.39,0.07,0.54,"Adult only, clipped by Juliana and Bella, subsample taken from specific site of clipping"
APIMALB,JBF_LB,JBF,11/11/2018,Low,A,1,279165,5359705,14,52.48,1.01,0.133,0.53,0.1,0.29,"Adult only, clipped by Juliana and Bella, subsample taken from specific site of clipping"
APIMALC,JBF_LC,JBF,11/11/2018,Low,A,1,279142,5359686,14,52.71,0.98,0.094,0.49,0.09,0.27,"Adult only, clipped by Juliana and Bella, subsample taken from specific site of clipping"
APIMAHD,JBF_HD,JBF,11/11/2018,High,A,1,279028,5359602,14,53.17,0.87,0.104,0.45,0.09,0.34,"Adult only, clipped by Juliana and Bella, subsample taken from specific site of clipping"
APIMAHE,JBF_HE,JBF,11/11/2018,High,A,1,279037,5359672,14,52.66,0.92,0.107,0.45,0.09,0.34,"Adult only, clipped by Juliana and Bella, subsample taken from specific site of clipping"
APIMAHF,JBF_HF,JBF,11/11/2018,High,A,1,279044,5359590,14,52.22,1.05,0.147,0.58,0.09,0.26,"Adult only, clipped by Juliana and Bella, subsample taken from specific site of clipping"
APIMAHG,JBF_HG,JBF,11/11/2018,High,A,1,2790402,5359553,14,52.24,1.02,0.122,0.59,0.09,0.39,"Adult only, clipped by Juliana and Bella, subsample taken from specific site of clipping"
JPIMAH1,JBF_HJ,JBF,11/11/2018,High,J,3,na,na,0,52.15,0.94,0.115,0.49,0.1,0.36,"Juvenile only, clipped by Juliana and Bella, subsample taken from specific site of clipping"
JPIMAL1,JBF_LJ,JBF,11/11/2018,Low,J,2,na,na,0,52.62,0.91,0.09,0.42,0.09,0.35,"Juvenile only, clipped by Juliana and Bella, subsample taken from specific site of clipping"
