PlotName,SiteCode,POINT_X,POINT_Y
Bloomfield+E1,BL,-53.984584,48.350211
Bloomfield+A1,BL,-53.986869,48.350269
Bloomfield+D1,BL,-53.985073,48.350252
Bloomfield+F1,BL,-53.984047,48.350252
Bloomfield+K1,BL,-53.981671,48.35026
Bloomfield+J1,BL,-53.982132,48.350284
Bloomfield+N1,BL,-53.98012,48.350273
Bloomfield+C2,BL,-53.985564,48.350572
Bloomfield+I2,BL,-53.982677,48.350611
Bloomfield+L2,BL,-53.981139,48.350615
Bloomfield+A3,BL,-53.98688,48.350916
Bloomfield+F3,BL,-53.983935,48.350885
Bloomfield+N3,BL,-53.979985,48.350978
Bloomfield+C4,BL,-53.985658,48.351254
Bloomfield+I4,BL,-53.982555,48.351289
Bloomfield+L4,BL,-53.981125,48.3513
Bloomfield+A5,BL,-53.986771,48.351594
Bloomfield+F5,BL,-53.9838,48.351581
Bloomfield+N5,BL,-53.980055,48.351705
Bloomfield+C6,BL,-53.985591,48.351966
Bloomfield+I6,BL,-53.982378,48.35196
Bloomfield+L6,BL,-53.981057,48.351985
Bloomfield+F7,BL,-53.983716,48.352222
Bloomfield+A7,BL,-53.986664,48.352307
Bloomfield+N7,BL,-53.979917,48.352357
Bloomfield+I8,BL,-53.982321,48.3526
Bloomfield+C8,BL,-53.985457,48.352663
Bloomfield+L8,BL,-53.981096,48.352668
Bloomfield+A9,BL,-53.986526,48.35295
Bloomfield+F9,BL,-53.983655,48.353015
Bloomfield+N9,BL,-53.979875,48.353024
Bloomfield+C10,BL,-53.985374,48.353322
Bloomfield+I10,BL,-53.982162,48.353342
Bloomfield+L10,BL,-53.980962,48.353364
Bloomfield+A11,BL,-53.986422,48.353699
Bloomfield+F11,BL,-53.983517,48.353667
Bloomfield+N11,BL,-53.979916,48.353715
Bloomfield+C12,BL,-53.985291,48.35399
Bloomfield+I12,BL,-53.981974,48.354049
Bloomfield+L12,BL,-53.980867,48.35406
Bloomfield+A13,BL,-53.986274,48.354405
Bloomfield+F13,BL,-53.983426,48.354416
Bloomfield+N13,BL,-53.979833,48.354383
Bloomfield+B14,BL,-53.985762,48.354652
Bloomfield+C14,BL,-53.985225,48.354702
Bloomfield+G14,BL,-53.982929,48.354681
Bloomfield+I14,BL,-53.981918,48.354716
Bloomfield+L14,BL,-53.980838,48.354708
Bloomfield+H14,BL,-53.982461,48.354774
Bloomfield+M14,BL,-53.980301,48.354767
Dunphys Pond+A1,DP,-54.128409,48.427628
Dunphys Pond+A3,DP,-54.127571,48.428111
Dunphys Pond+D1,DP,-54.129524,48.428241
Dunphys Pond+C2,DP,-54.128748,48.428338
Dunphys Pond+E1,DP,-54.129806,48.4285
Dunphys Pond+A5,DP,-54.126943,48.428689
Dunphys Pond+F1,DP,-54.130058,48.42883
Dunphys Pond+C4,DP,-54.127878,48.428893
Dunphys Pond+A7,DP,-54.126229,48.429121
Dunphys Pond+C6,DP,-54.127382,48.429294
Dunphys Pond+F3,DP,-54.129338,48.429379
Dunphys Pond+A9,DP,-54.125539,48.429617
Dunphys Pond+C8,DP,-54.126679,48.42978
Dunphys Pond+I2,DP,-54.130675,48.42988
Dunphys Pond+J1,DP,-54.13139,48.429907
Dunphys Pond+F5,DP,-54.128634,48.429874
Dunphys Pond+A11,DP,-54.124717,48.430046
Dunphys Pond+K1,DP,-54.131631,48.430192
Dunphys Pond+C10,DP,-54.125936,48.430248
Dunphys Pond+I4,DP,-54.129919,48.430338
Dunphys Pond+F7,DP,-54.12793,48.430361
Dunphys Pond+L2,DP,-54.131647,48.430624
Dunphys Pond+A13,DP,-54.123971,48.430558
Dunphys Pond+F9,DP,-54.127276,48.430695
Dunphys Pond+I6,DP,-54.129257,48.430817
Dunphys Pond+C12,DP,-54.125269,48.430798
Dunphys Pond+N1,DP,-54.132749,48.430994
Dunphys Pond+L4,DP,-54.130891,48.431091
Dunphys Pond+B14,DP,-54.123974,48.43099
Dunphys Pond+C14,DP,-54.124378,48.431252
Dunphys Pond+F11,DP,-54.126498,48.431314
Dunphys Pond+N3,DP,-54.132116,48.431419
Dunphys Pond+I8,DP,-54.128563,48.431375
Dunphys Pond+L6,DP,-54.130065,48.431593
Dunphys Pond+F13,DP,-54.125784,48.431738
Dunphys Pond+I10,DP,-54.127819,48.431851
Dunphys Pond+N5,DP,-54.131545,48.431962
Dunphys Pond+L8,DP,-54.129443,48.432063
Dunphys Pond+G14,DP,-54.125851,48.432225
Dunphys Pond+I12,DP,-54.12704,48.432246
Dunphys Pond+N7,DP,-54.130762,48.43242
Dunphys Pond+H14,DP,-54.126081,48.432465
Dunphys Pond+L10,DP,-54.12864,48.432637
Dunphys Pond+N9,DP,-54.130115,48.432862
Dunphys Pond+I14,DP,-54.126465,48.432852
Dunphys Pond+L12,DP,-54.127952,48.433087
Dunphys Pond+N11,DP,-54.129316,48.433364
Dunphys Pond+L14,DP,-54.127316,48.433584
Dunphys Pond+N13,DP,-54.128559,48.433831
Dunphys Pond+M14,DP,-54.127717,48.433909
TNNP North+A1,TN,-53.970982,48.623739
TNNP North+A3,TN,-53.971766,48.623917
TNNP North+A5,TN,-53.97267,48.624271
TNNP North+A7,TN,-53.973497,48.624493
TNNP North+C2,TN,-53.970705,48.624565
TNNP North+A9,TN,-53.974412,48.624829
TNNP North+C4,TN,-53.971729,48.624899
TNNP North+D1,TN,-53.970127,48.624886
TNNP North+C6,TN,-53.972422,48.625133
TNNP North+E1,TN,-53.969937,48.625125
TNNP North+A11,TN,-53.975335,48.625282
TNNP North+C8,TN,-53.973707,48.625288
TNNP North+A13,TN,-53.97632,48.625419
TNNP North+F1,TN,-53.969716,48.625508
TNNP North+C10,TN,-53.97454,48.625609
TNNP North+F3,TN,-53.970529,48.625721
TNNP North+B14,TN,-53.976566,48.625907
TNNP North+C12,TN,-53.9755,48.626016
TNNP North+F5,TN,-53.971634,48.626053
TNNP North+C14,TN,-53.976482,48.626323
TNNP North+F7,TN,-53.972502,48.626264
TNNP North+I2,TN,-53.969768,48.626398
TNNP North+F9,TN,-53.973646,48.626568
TNNP North+J1,TN,-53.969206,48.626547
TNNP North+I4,TN,-53.970752,48.626741
TNNP North+K1,TN,-53.968859,48.626871
TNNP North+F11,TN,-53.974447,48.627024
TNNP North+I6,TN,-53.971581,48.626999
TNNP North+F13,TN,-53.975226,48.62713
TNNP North+L2,TN,-53.969225,48.627321
TNNP North+I8,TN,-53.972555,48.627397
TNNP North+G14,TN,-53.975682,48.627721
TNNP North+L4,TN,-53.970222,48.627655
TNNP North+I10,TN,-53.97342,48.627806
TNNP North+L6,TN,-53.971132,48.627901
TNNP North+I12,TN,-53.974381,48.627979
TNNP North+H14,TN,-53.975471,48.62805
TNNP North+N1,TN,-53.968434,48.627962
TNNP North+N3,TN,-53.969424,48.62817
TNNP North+L8,TN,-53.972157,48.628244
TNNP North+I14,TN,-53.975366,48.62835
TNNP North+N5,TN,-53.970293,48.6284
TNNP North+L10,TN,-53.973119,48.628453
TNNP North+L12,TN,-53.973991,48.628736
TNNP North+N7,TN,-53.971261,48.628708
TNNP North+L14,TN,-53.974957,48.629017
TNNP North+N9,TN,-53.972349,48.628985
TNNP North+N11,TN,-53.973219,48.629224
TNNP North+M14,TN,-53.974746,48.629346
TNNP North+N13,TN,-53.974106,48.629543
Unicorn+N13,UNI,-54.013945,48.631672
Unicorn+M14,UNI,-54.014759,48.631909
Unicorn+N11,UNI,-54.013059,48.631964
Unicorn+L14,UNI,-54.01499,48.63214
Unicorn+N9,UNI,-54.011928,48.632267
Unicorn+L12,UNI,-54.014177,48.632353
Unicorn+N7,UNI,-54.011035,48.63246
Unicorn+L10,UNI,-54.013277,48.632644
Unicorn+N5,UNI,-54.010275,48.632674
Unicorn+L8,UNI,-54.012133,48.632938
Unicorn+N3,UNI,-54.009212,48.63298
Unicorn+I14,UNI,-54.015456,48.633214
Unicorn+N1,UNI,-54.00838,48.633273
Unicorn+H14,UNI,-54.016175,48.633448
Unicorn+L6,UNI,-54.011211,48.633382
Unicorn+I12,UNI,-54.014605,48.633597
Unicorn+L4,UNI,-54.010346,48.63354
Unicorn+G14,UNI,-54.016336,48.633722
Unicorn+I10,UNI,-54.013542,48.633902
Unicorn+L2,UNI,-54.009445,48.633858
Unicorn+F13,UNI,-54.016631,48.634
Unicorn+I8,UNI,-54.012523,48.634154
Unicorn+F11,UNI,-54.015659,48.634371
Unicorn+K1,UNI,-54.009374,48.634378
Unicorn+I6,UNI,-54.011556,48.634435
Unicorn+C14,UNI,-54.017269,48.634691
Unicorn+F9,UNI,-54.014907,48.634693
Unicorn+I4,UNI,-54.010618,48.63469
Unicorn+F7,UNI,-54.013802,48.634781
Unicorn+J1,UNI,-54.009447,48.634749
Unicorn+B14,UNI,-54.017488,48.634904
Unicorn+C12,UNI,-54.016374,48.634911
Unicorn+F5,UNI,-54.012752,48.635105
