Date,Ear_tag,Trap,Recapture,Age_class,Sex,Weight,RHF,LHF,New_collar,Old_collar,White,Handler,Notes,
6/22/2016,A3722,N1,No,J,Unknown,772,,100,149.193,,1,"JS, MR",,
8/18/2016,A3721,N5,No,A,M,1280,,120,149.333,,0,"JS, MR",,
8/20/2016,A3720,F11,No,J,Unknown,580,,95,,,2,"JS, MR, EVW",,
11/13/2016,A3701,A7,No,A,Unknown,1335,,130,149.432,,10,"AH, MR",,
11/13/2016,A3702,K1,No,A,Unknown,1600,,,,,5,"AH, MR","ran away before we could record LHF, sex, and fit collar",
11/15/2016,A3721,C14,Yes,A,M,1300,,110,,,10,"AH, MR",,
11/15/2016,A6703,M14,No,A,Unknown,1290,,,,,5,"AH, MR","ran away before we could record LHF, sex, and fit collar",
11/26/2016,A3719,F5,No,A,Unknown,1320,,125,149.535,,95,"AH, MR",,
12/1/2016,A3701,I2,Yes,A,Unknown,1415,,,,,80,"AH, MR",,
12/1/2016,A3704,N5,No,A,Unknown,1320,,130,149.313,,60,"Ah, MR",,
6/25/2017,A3705,L4,No,A,Unknown,1290,,110,149.673,,0,"MR, TH",,
6/26/2017,A3706,A7,No,J,Unknown,496,,79,,,1,"MR, TH",,
6/26/2017,A3707,A11,No,J,Unknown,679,,90,149.394,,1,"MR, TH",,
6/28/2017,A3708,C6,No,J,Unknown,639,,70,149.452,,1,"MR, TH",,
6/28/2017,A6704,N7,No,A,F,1639,,120,149.142,,0,"MR, TH","very skittish and stressed out, could have been recapture of 6703, my notes are not very clear on this (MR)",
10/8/2017,A1403,N5,No,A,Unknown,1405,,130,149.494,,0,"MR, JBF, PL",,
10/8/2017,A3761,N11,No,J,Unknown,930,,110,,,0,"MR, JBF, PL",,
10/8/2017,A3714,L6,No,A,Unknown,1230,,,149.023,,0,"MR, JBF, PL",,
10/8/2017,A3718,I2,No,A,Unknown,1590,,,149.254,,0,"MR, JBF, PL",,
10/8/2017,,H14,,,,,,,,,,"MR, JBF, PL",Run away as tried to transfer it to the burlap sac,
10/8/2017,A3710,E1,No,A,F,1390,,130,149.124,,2,"MR, JBF, PL",,
