Date,Enclosure,Eartag,Sex,Trial,Trap,Letter,Number,Source_high,Source_low,Clip_Date,Start_mass,End_mass,Start_high,Start_low,End_high,End_low,Time_in,Time_out,Side_high,Side_low,White,Low_temp,Med_temp,weather,Mass_change,Notes
11/5/2018,E4,A2042,M,1,C6,C,6,NA,NA,NA,1500,1450,150,150,76.1,102.5,10:42,7:30,left,right,5,2,NA,NA,0.033333333,
11/8/2018,E1,A2063,F,1,C14,C,14,NA,NA,NA,1350,1250,139.9,139.9,96,88.1,10:00,8:50,left,right,5,2,NA,NA,0.074074074,
11/8/2018,E2,A2034,F,1,F7,F,7,NA,NA,NA,1600,1550,129.9,130.5,42.1,41.2,10:02,9:10,right,left,10,2,NA,NA,0.03125,
11/10/2018,E1,A0461,F,1,I14,I,14,NA,NA,NA,1450,1350,130.8,129.2,55.9,94.5,9:00,7:27,left,right,60,0,NA,NA,0.068965517,
11/10/2018,E2,A1688,M,1,I6,I,6,NA,NA,NA,1500,1450,130.7,130.5,64.8,67,9:05,7:27,right,left,10,0,NA,NA,0.033333333,
11/10/2018,E3,A2034,F,2,I8,I,8,NA,NA,NA,1500,1450,130.7,129.5,42,64.3,9:15,7:30,left,right,30,0,NA,NA,0.033333333,
11/10/2018,E5,A2072,F,1,A3,A,3,NA,NA,NA,1425,1400,130.7,130.5,50.5,65.8,8:40am,7:32,right,left,20,0,NA,NA,0.01754386,
11/12/2018,E1,A0460,F,1,M14,M,14,NA,NA,NA,1560,1500,129.2,129.4,41.4,40.6,9:23,7:15,left,right,20,-2,NA,NA,0.038461538,
11/12/2018,E2,A1700,F,1,N7,N,7,NA,NA,NA,1660,1600,129.1,130.1,51.5,58.2,9:27,7:15,left,right,20,-2,NA,NA,0.036144578,
11/12/2018,E3,A1699,M,1,N9,N,9,NA,NA,NA,1550,1450,130,130.6,72.5,62.7,9:31,7:15,right,left,40,-2,NA,NA,0.064516129,
11/12/2018,E4,A3769,M,1,N5,N,5,NA,NA,NA,1620,1500,130.5,130,37.3,109.4,9:35,7:15,left,right,90,-2,NA,NA,0.074074074,
11/12/2018,E5,A0456,F,1,N3,N,3,NA,NA,NA,1600,1460,130.8,131.2,40.2,62.3,9:41,7:15,left,right,5,-2,NA,NA,0.0875,
11/16/2018,E2,A1654,M,1,C6,C,6,NA,NA,NA,1600,1460,129.5,130.6,107.2,73.2,9:10,7:36,right,left,80,-4,NA,NA,0.0875,
11/16/2018,E3,A2098,F,1,A11,A,11,NA,NA,NA,1160,1050,130.9,139.8,92.2,70,9:07,7:38,left ,right,20,-4,NA,NA,0.094827586,
11/16/2018,E4,A2067,F,1,A1,A,1,NA,NA,NA,1500,1420,130.1,130.8,76.4,74.8,9:05,7:40,right,left,80,-4,NA,NA,0.053333333,
11/16/2018,E6,A2083,F,2,A5,A,5,NA,NA,NA,1480,1360,129.4,130,101.6,61.1,9:02,7:45,right,left,90,-4,NA,NA,0.081081081,
11/20/2018,E1,A2048,F,1,I8,I,8,NA,NA,NA,1660,1580,130.1,130.3,38.8,51.9,10:00,7:30,right,left,60,0,NA,NA,0.048192771,
11/20/2018,E2,A2097,M,1,F11,F,11,NA,NA,NA,1400,1400,130.5,130.5,70.6,110.6,10:05,7:33,right,left,90,0,NA,NA,0,
11/20/2018,E3,A3719,F,1,L6,L,6,NA,NA,NA,1640,1600,130.5,130.2,74.1,80.8,10:09,7:36,left,right,5,0,NA,NA,0.024390244,
11/20/2018,E4,A1690,F,1,L10,L,10,NA,NA,NA,1380,1260,129.7,130,72.9,60.6,10:15,7:39,left,right,60,0,NA,NA,0.086956522,
11/20/2018,E5,A2081,M,2,F3,F,3,NA,NA,NA,1470,1400,129.7,130.7,14.2,63.2,10:20,7:42,left,right,20,0,NA,NA,0.047619048,
11/20/2018,E6,A1699,M,2,F7,F,7,NA,NA,NA,1400,1430,129,129.8,50,112.6,10:25,7:45,right,left,80,0,NA,NA,-0.021428571,
10/15/2019,E1,A1688,M,1,F9,F,9,HJ1W191014,LN5W191014,10/14/2019,1700,1620,130.8,130.4,87.6,92.9,9:45,8:00,Right,Left,5,6,9,clear,0.047,Bit bella
10/15/2019,E2,A2090,M,1,I6,I,6,HJ1W191014,LN5W191014,10/14/2019,1680,1580,130.3,130.4,43.7,129.1,9:55,8:00,Right,Left,5,6,9,clear,0.06,New collar: 149.573
10/15/2019,E3,A1518,F,1,F7,F,7,HJ1W191014,LN5W191014,10/14/2019,1360,1240,130.5,129.7,80.5,93.3,10:00,8:00,Left,Right,0,6,9,clear,0.088,didn’t get a collar
10/19/2019,E1,A1658,F,1,A5,A,5,HJ1W191014,LN5W191014,10/14/2019,1920,1820,130.5,130.4,49.8,59.2,9:40,7:40,Right,Left,0,6,8,clear,0.052,
10/19/2019,E2,A2081,M,1,D1,D,1,HJ1W191014,LN5W191014,10/14/2019,1700,1620,130.7,130,76.8,42.3,9:50,7:40,Left,Right,0,6,8,clear,0.047,
10/19/2019,E3,A1517,M,1,A9,A,9,HJ1W191014,LN5W191014,10/14/2019,1300,1240,130.9,129.6,85.3,100.5,9:45,7:40,Left,Right,0,6,8,clear,0.046,
10/19/2019,E4,A1698,F,1,C4,C,4,HJ1W191014,LN5W191014,10/14/2019,1720,1600,130.5,130.7,38,64.8,10:00,7:45,Left,Right,5,6,8,clear,0.07,
10/19/2019,E5,A1677,M,1,C12,C,12,HJ1W191014,LN5W191014,10/14/2019,1420,1350,130.2,130.7,84.4,55.2,9:55,7:45,Left,Right,5,6,8,clear,0.049,
10/19/2019,E6,A1666,F,1,E1,E,1,HJ1W191014,LN5W191014,10/14/2019,1500,1440,129.8,120.7,55.8,93.4,10:05,7:45,Right,Left,5,6,8,clear,0.04,
10/21/2019,E1,A2094,F,1,N7,N,7,HJ1W191014,LN5W191014,10/14/2019,1560,1560,130.5,129.2,42.2,53.7,9:30,8:03,Right,Left,5,4,5,clear,0,"bad ear, new collar: 149.555"
10/21/2019,E2,A0458,F,1,N9,N,9,HJ1W191014,LN5W191014,10/14/2019,1650,1540,130.3,130.2,76.5,97.4,9:37,8:05,Right,Left,5,4,5,clear,0.067,new collar: 150.072
10/21/2019,E3,A3769,M,1,L6,L,6,HJ1W191014,LN5W191014,10/14/2019,1600,1480,130.2,130.5,106.9,112.2,9:41,8:05,Right,Left,10,4,5,clear,0.075,already collared
10/23/2019,E1,A1518,F,2,I10,I,10,HI2E191020,LL4N191020,10/20/2019,1460,1300,130.4,130,90.3,86.4,9:40,7:50,Left,Right,5,5,6,clear,0.11,
10/23/2019,E2,A1688,M,2,I6,I,6,HI2E191020,LL4N191020,10/20/2019,1760,1620,129.7,130.6,102.6,85.5,9:45,7:53,Right,Left,5,5,6,clear,0.08,
10/23/2019,E3,A2089,F,1,I8,I,8,HI2E191020,LL4N191020,10/20/2019,1320,1200,130.7,129.4,99.8,93.9,9:50,7:55,Left,Right,0,5,6,clear,0.091,
10/23/2019,E4,A2095,F,1,I4,I,4,HI2E191020,LL4N191020,10/20/2019,1350,1260,129.7,129.5,73.1,76.4,10:00,7:57,Left,Right,0,5,6,clear,0.067,"was hard to sex, young of the year"
10/23/2019,E5,A1666,F,2,F1,F,1,HI2E191020,LL4N191020,10/20/2019,1480,1320,129.8,130,82.2,38.8,10:00,7:59,Left,Right,5,5,6,clear,0.108,
10/23/2019,E6,A1687,M,1,F11,F,11,HI2E191020,LL4N191020,10/20/2019,1300,1240,129.3,129.6,34.6,96.6,10:00,8:00,Right,Left,0,5,6,clear,0.046,
10/23/2019,E7,A2086,M,1,I14,I,14,HI2E191020,LL4N191020,10/20/2019,1800,1700,130.7,129.4,114.4,54.3,9:55,8:02,Left,Right,5,5,6,clear,0.056,
10/27/2019,E8,A1664,M,1,C2,C,2,HI2E191020,LL4N191020,10/20/2019,1420,1380,129.7,131.3,82.6,68.5,10:20,8:10,Left,Right,0,2,3,clear,0.028,got collar 149.053
10/27/2019,E7,A1667,F,1,C8,C,8,HI2E191020,LL4N191020,10/20/2019,1420,1300,129.4,131.4,81.7,47.8,10:25,8:10,Left,Right,10,2,3,clear,0.085,got collar 150.292
10/27/2019,E6,A1677,M,2,A11,A,11,HI2E191020,LL4N191020,10/20/2019,1500,1400,130,131.7,75,47.1,10:30,8:15,Left,Right,20,2,3,clear,0.067,bad ear
10/27/2019,E5,A1680,F,1,A5,A,5,HI2E191020,LL4N191020,10/20/2019,1380,1280,129.8,130.3,92,64.7,10:35,8:15,Right,Left,5,2,3,clear,0.072,
10/27/2019,E4,A1659,F,1,A3,A,3,HI2E191020,LL4N191020,10/20/2019,1600,1500,129.6,130.2,69.2,65.8,10:40,8:20,Right,Left,5,2,3,clear,0.063,
10/29/2019,E1,A3769,M,2,N7,N,7,HI4N191028,LL6S191028,10/28/2019,1500,1460,130.8,130,52.9,86.7,9:40,8:15,Right,Left,20,2,3,clear,0.027,
10/29/2019,E2,A1661,F,1,M14,M,14,HI4N191028,LL6S191028,10/28/2019,1580,1440,129.9,129.6,47.8,69.5,9:50,8:15,Right,Left,10,2,3,clear,0.089,
10/29/2019,E3,A1665,M,1,L10,L,10,HI4N191028,LL6S191028,10/28/2019,1500,1380,129.9,130.5,112.2,75,9:52,8:15,Left,Right,5,2,3,clear,0.08,got collar 149.023
10/29/2019,E4,A1678,F,1,L8,L,8,HI4N191028,LL6S191028,10/28/2019,1400,1320,130,130.4,71.8,93.1,9:55,8:15,Left,Right,5,2,3,clear,0.057,
11/4/2019,E5,A2095,F,2,I4,I,4,HI4N191028,LL6S191028,10/28/2019,1440,1320,130.5,130.2,31,55.8,8:45,7:15,Right,Left,5,0,3,clear,0.083,got collar 149.572
11/4/2019,E6,A2090,M,2,I2,I,2,HI4N191028,LL6S191028,10/28/2019,1620,1500,129.8,130.1,70.3,75.1,8:50,7:15,Right,Left,20,0,3,clear,0.074,
11/4/2019,E7,A1502,M,1,F13,F,13,HI4N191028,LL6S191028,10/28/2019,1460,1340,129.6,130.5,74.2,47.1,8:55,7:15,Left,Right,5,0,3,clear,0.082,
11/4/2019,E8,A2081,M,2,F3,F,3,HI4N191028,LL6S191028,10/28/2019,1640,1600,129.7,130.9,31.1,55.2,9:00,7:15,Left,Right,30,0,3,clear,0.024,
11/6/2019,E4,A1677,M,3,A11,A,11,HI4N191028,LL6S191028,10/28/2019,1389,1289,129.8,130.5,37.4,79.6,9:00,7:20,Right,Left,40,-1,6,rain,0.072,
11/6/2019,E3,A1698,F,2,C4,C,4,HI4N191028,LL6S191028,10/28/2019,1600,NA,130.7,129.5,27.6,47.6,9:05,7:20,Right,Left,70,-1,6,rain,NA,"Marcie, escaped at the end"
11/6/2019,E2,A1600,F,1,C14,C,14,HI4N191028,LL6S191028,10/28/2019,1430,1300,129.7,129.6,96,88.7,9:07,7:20,Left,Right,20,-1,6,rain,0.091,got collar 150.011
11/6/2019,E1,A1550,M,1,C10,C,10,HI4N191028,LL6S191028,10/28/2019,1560,1420,129.4,130.2,56.9,115.1,9:15,7:20,Left,Right,40,-1,6,rain,0.09,very ripped ear
11/6/2019,E8,A1549,F,1,C8,C,8,HI4N191028,LL6S191028,10/28/2019,1500,1330,130.2,129.8,80.2,31.9,9:18,7:20,Left,Right,10,-1,6,rain,0.113,new collar 1549.374
